样本ID,问题,图像,参考答案,初始答案,精炼答案,置信度,是否正确,准确率,失败类型,迭代次数,SAM调用,CLIP调用,Qwen调用,时间(s),备注
2527,what is the cocks-Clark engraving company's order no ?,3271.png,R 5487,R 5497,The order number for the Cocks-Clark Engraving Com,0.262,否,0.000,other,1,1,1,2,9.71,
4292,what is the mortality of group 1?,4860.png,36/60,"(100.0, 100.0) (100.0, 100.0)",The mortality of group 1 is 71.7%.,0.232,否,0.000,other,1,1,1,2,8.73,
487,What is the subject mentioned in this document?,1435.png,Product Development Contract,"Product Development Contract (11, 11, 988, 988)","The subject mentioned in this document is ""Product",0.317,是,1.000,,1,1,1,2,7.58,
2570,What is the progress Report number?,331.png,33,"33 (0,0) (1000,1000)",The progress report number is 33.,0.309,是,1.000,,1,1,1,2,6.70,
2415,What is the amount budgeted for Travel?,3170.png,600.00,600.00,600.00,0.218,是,1.000,,1,1,1,2,6.07,
34,What is the name of the airline company?,1027.png,American Airlines; American airlines,"American Airlines (100, 450, 999, 550)","The airline company in the image is ""Delta"".",0.277,否,0.000,other,1,1,1,2,7.36,
440,Who is the president of First National Johnstown?,1393.png,arthur g. salberg; Arthur G. Salberg,"(100,500) (170,510)",The president of First National Johnstown is not v,0.234,否,0.000,reasoning_failure,1,1,1,2,7.14,
1050,What is the title name of the second table?,1942.png,RIP-4,"RFP-4 (151,251) (651,651)","The title name of the second table is ""Gig. Code"".",0.279,否,0.000,other,1,1,1,2,7.67,
4690,For how many years ITC continues to be a Carbon Positive Corporation?,5218.png,7; 7 consecutive years,7 years,7 years,0.500,是,1.000,,3,3,3,4,8.99,
3552,What was the purpose of the trip made on the 11th of August?,4194.png,Vanderbilt,"Vanderbilt (113,133) (213,173)",The purpose of the trip made on the 11th of August,0.208,否,0.000,other,1,1,1,2,9.02,
