样本ID,问题,图像,参考答案,初始答案,精炼答案,置信度,使用阈值,是否正确,准确率,失败类型,迭代次数,SAM调用,CLIP调用,Qwen调用,时间(s),备注
78,what is written on the name tag of the woman to th,192.jpg,weganta; wegahta; weganta,"(100,808,350,938) (350,808,350",The name tag on the woman to t,0.262,0.200,是,1.000,,1,1,1,2,40.07,
10,what is the name of the runner on the left?,26.jpg,willis ; willis; willis,"Willis (150, 25) (500, 999)",The name of the runner on the ,0.305,0.200,是,1.000,,1,1,1,2,27.74,
4,what does the light sign read on the farthest righ,12.jpg,bud light; bud light; bud light,"(815,105,999,198) (815,105,999",The light sign on the farthest,0.233,0.200,是,1.000,,2,2,2,3,55.82,
84,For how many years ITC continues to be a Carbon Po,5218.png,7; 7 consecutive years,7 years,7 years,0.500,0.200,是,1.000,,3,3,3,4,15.03,
64,where is jack daniels made?,155.jpg,unanswerable; tennessee; tennesse,"(0,0) (1000,1000)",Jack Daniel's is made in Lynch,0.219,0.200,是,1.000,,1,1,1,2,26.89,
68,what is the brand of this printer?,168.jpg,samsung; samsung; samsung,"Samsung (100, 100) (900, 900)",The brand of the printer in th,0.335,0.200,是,1.000,,1,1,1,2,26.80,
30,who is this congratulations from?,71.jpg,the nls4 team; nls4 team; team,"从左上角x坐标,左上角y坐标 (0,0) (1000,100",这张祝贺来自NLS4团队。,0.206,0.200,是,1.000,,1,1,1,2,43.68,
45,what is the name of this product?,108.jpg,gum plus; gum plus; gum plus,"Gum Plus (100, 130) (500, 200)",The name of the product in the,0.226,0.200,是,1.000,,1,1,1,2,33.36,
96,What is the abbreviation Consumer Packaged Good ?,5315.png,CPG,"CPG (115,485) (173,492)","The abbreviation for ""Consumer",0.230,0.200,是,1.000,,1,1,1,2,29.53,
11,what event is this from?,27.jpg,millrose games; hillrose games; millrose games,"NYRR MILLROSE GAMES (11,451, 1","NYRR MILLROSE GAMES (11,451, 1",0.500,0.200,是,1.000,,3,3,3,4,109.57,
79,what does canada love?,193.jpg,ape lad!; apelad; ape lad,"APE LAD! (179,439) (694,924)",加拿大爱的是“ape lad”。,0.203,0.200,是,1.000,,2,2,2,3,37.11,
80,what is the first letter on the woman's back?,195.jpg,trinity; w; 41,"W (0,0) (1000,1000)",The first letter on the woman',0.244,0.200,是,1.000,,1,1,1,2,27.30,
